location,city,country,utc,local,parameter,value,unit,attribution
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T09:00:00.000Z,2016-06-15T06:00:00-03:00,no2,32,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T09:00:00.000Z,2016-06-15T06:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T08:00:00.000Z,2016-06-15T05:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T08:00:00.000Z,2016-06-15T05:00:00-03:00,no2,35,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T08:00:00.000Z,2016-06-15T05:00:00-03:00,pm25,35,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T07:00:00.000Z,2016-06-15T04:00:00-03:00,no2,37,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T07:00:00.000Z,2016-06-15T04:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T07:00:00.000Z,2016-06-15T04:00:00-03:00,pm25,20,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T06:00:00.000Z,2016-06-15T03:00:00-03:00,no2,45,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T06:00:00.000Z,2016-06-15T03:00:00-03:00,pm25,23,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T06:00:00.000Z,2016-06-15T03:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
